,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,0.5227 ± 0.1486,0.4721 ± 0.1837,4.8669,0.0000,***
CVaR,-0.0495 ± 0.0082,-0.0536 ± 0.0097,7.4213,0.0000,***
MDD,-0.2213 ± 0.0437,-0.2533 ± 0.0578,9.8967,0.0000,***
Omega,2.7210 ± 0.9415,2.8290 ± 1.2986,-1.5001,0.9329,
