,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,1.0378 ± 0.1057,0.8731 ± 0.1426,20.7521,0.0000,***
CVaR,-0.0437 ± 0.0046,-0.0484 ± 0.0062,13.5650,0.0000,***
MDD,-0.1860 ± 0.0315,-0.2195 ± 0.0457,13.3256,0.0000,***
Omega,5.1209 ± 1.4396,5.3203 ± 0.9838,-2.9504,0.9984,
