,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,3.2308 ± 0.7215,3.3462 ± 0.7217,-2.4607,0.9929,
CVaR,-0.0485 ± 0.0154,-0.0422 ± 0.0139,-6.7535,1.0000,
MDD,-0.2197 ± 0.0759,-0.2023 ± 0.0709,-3.7152,0.9999,
Omega,15.2440 ± 8.0319,20.6545 ± 7.8988,-10.4946,1.0000,
