,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.1137 ± 0.0301,-0.1113 ± 0.0344,-1.1208,0.8685,
CVaR,-0.0517 ± 0.0068,-0.0535 ± 0.0078,3.7273,0.0001,***
MDD,-0.3952 ± 0.0649,-0.3942 ± 0.0703,-0.2384,0.5942,
Omega,0.8366 ± 0.0363,0.8326 ± 0.0450,1.4093,0.0797,*
