,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,2.6421 ± 0.4802,2.5538 ± 0.5466,2.5567,0.0054,***
CVaR,-0.0422 ± 0.0129,-0.0400 ± 0.0130,-2.5678,0.9947,
MDD,-0.1909 ± 0.0693,-0.1832 ± 0.0721,-1.6601,0.9512,
Omega,12.6586 ± 6.0716,16.0490 ± 5.6780,-9.0308,1.0000,
