,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.1100 ± 0.0274,-0.1083 ± 0.0315,-0.8188,0.7934,
CVaR,-0.0472 ± 0.0056,-0.0499 ± 0.0061,6.8373,0.0000,***
MDD,-0.3655 ± 0.0612,-0.3692 ± 0.0665,0.8854,0.1882,
Omega,0.8370 ± 0.0333,0.8359 ± 0.0404,0.4550,0.3247,
