,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.1140 ± 0.0216,-0.1042 ± 0.0284,-6.5388,1.0000,
CVaR,-0.0406 ± 0.0027,-0.0465 ± 0.0069,17.5291,0.0000,***
MDD,-0.3316 ± 0.0404,-0.3436 ± 0.0725,3.3108,0.0005,***
Omega,0.8277 ± 0.0258,0.8375 ± 0.0383,-4.9522,1.0000,
