,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.1115 ± 0.0301,-0.1134 ± 0.0369,0.8191,0.2066,
CVaR,-0.0554 ± 0.0089,-0.0573 ± 0.0099,3.0301,0.0013,***
MDD,-0.4120 ± 0.0634,-0.4177 ± 0.0731,1.2434,0.1072,
Omega,0.8399 ± 0.0370,0.8297 ± 0.0491,3.3791,0.0004,***
