,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,3.6261 ± 0.7725,3.7720 ± 0.7379,-3.0076,0.9986,
CVaR,-0.0557 ± 0.0174,-0.0488 ± 0.0158,-6.5235,1.0000,
MDD,-0.2426 ± 0.0772,-0.2354 ± 0.0784,-1.4095,0.9204,
Omega,16.5102 ± 8.7611,22.6552 ± 8.9807,-10.5881,1.0000,
