,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.1036 ± 0.0310,-0.1136 ± 0.0418,3.9061,0.0001,***
CVaR,-0.0626 ± 0.0147,-0.0649 ± 0.0149,2.3412,0.0098,***
MDD,-0.4367 ± 0.0637,-0.4568 ± 0.0813,4.0105,0.0000,***
Omega,0.8485 ± 0.0400,0.8284 ± 0.0573,5.7608,0.0000,***
