,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.1241 ± 0.0279,-0.0955 ± 0.0308,-16.0157,1.0000,
CVaR,-0.0385 ± 0.0021,-0.0412 ± 0.0029,16.5826,0.0000,***
MDD,-0.3248 ± 0.0460,-0.2952 ± 0.0529,-9.7349,1.0000,
Omega,0.8129 ± 0.0311,0.8469 ± 0.0410,-14.8370,1.0000,
