,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0984 ± 0.0323,-0.1121 ± 0.0445,5.0400,0.0000,***
CVaR,-0.0668 ± 0.0175,-0.0688 ± 0.0171,1.8400,0.0332,**
MDD,-0.4461 ± 0.0674,-0.4748 ± 0.0863,5.3679,0.0000,***
Omega,0.8537 ± 0.0426,0.8299 ± 0.0619,6.3319,0.0000,***
