,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.1077 ± 0.0303,-0.1140 ± 0.0394,2.5814,0.0051,***
CVaR,-0.0589 ± 0.0118,-0.0611 ± 0.0124,2.6879,0.0037,***
MDD,-0.4251 ± 0.0625,-0.4385 ± 0.0767,2.7976,0.0027,***
Omega,0.8440 ± 0.0382,0.8284 ± 0.0533,4.7825,0.0000,***
