,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.1112 ± 0.0242,-0.1119 ± 0.0299,0.4538,0.3251,
CVaR,-0.0436 ± 0.0039,-0.0505 ± 0.0090,14.8401,0.0000,***
MDD,-0.3446 ± 0.0492,-0.3776 ± 0.0841,7.3010,0.0000,***
Omega,0.8329 ± 0.0290,0.8302 ± 0.0384,1.2601,0.1041,
