,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,3.7616 ± 0.7879,3.8977 ± 0.7534,-2.7477,0.9969,
CVaR,-0.0597 ± 0.0190,-0.0528 ± 0.0176,-5.9506,1.0000,
MDD,-0.2706 ± 0.0922,-0.2604 ± 0.0986,-1.6091,0.9459,
Omega,16.6772 ± 8.8204,22.9118 ± 9.3402,-10.4054,1.0000,
