,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,1.1249 ± 0.7274,0.6780 ± 0.7934,9.5873,0.0000,***
CVaR,-0.0281 ± 0.0056,-0.0430 ± 0.0136,21.0195,0.0000,***
MDD,-0.0577 ± 0.0148,-0.3192 ± 0.1894,27.5416,0.0000,***
Omega,8.9300 ± 28.1821,5.4391 ± 34.9531,1.7549,0.0399,**
