,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,9.8088 ± 2.0025,9.9124 ± 2.2965,-0.4413,0.6701,
CVaR,-0.0116 ± 0.0014,-0.0113 ± 0.0013,-2.2008,0.9853,
MDD,-0.0313 ± 0.0053,-0.0354 ± 0.0056,7.1149,0.0000,***
Omega,100.7331 ± 10.1433,101.6835 ± 10.2996,-0.8922,0.8130,
