,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,6.6946 ± 1.2607,3.8400 ± 2.8356,14.7711,0.0000,***
CVaR,-0.0089 ± 0.0013,-0.0429 ± 0.0305,16.7486,0.0000,***
MDD,-0.0134 ± 0.0024,-0.4090 ± 0.3661,16.2441,0.0000,***
Omega,219.3146 ± 51.6671,88.7358 ± 97.8644,19.3894,0.0000,***
