,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,1.6267 ± 1.6984,1.1618 ± 1.5384,4.4782,0.0000,***
CVaR,-0.0223 ± 0.0190,-0.0428 ± 0.0209,15.5140,0.0000,***
MDD,-0.0413 ± 0.0099,-0.2995 ± 0.1982,23.3264,0.0000,***
Omega,25.6713 ± 146.2581,18.0556 ± 185.4625,0.6602,0.2547,
