,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,3.8122 ± 0.3369,2.4151 ± 1.1718,17.7001,0.0000,***
CVaR,-0.0144 ± 0.0019,-0.0396 ± 0.0225,16.8499,0.0000,***
MDD,-0.0193 ± 0.0028,-0.3734 ± 0.3271,16.2750,0.0000,***
Omega,257.4920 ± 3744.7455,31.2692 ± 30.7678,1.8091,0.0354,**
