,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,10.6630 ± 1.6750,11.2577 ± 2.3178,-2.5409,0.9938,
CVaR,-0.0145 ± 0.0013,-0.0139 ± 0.0013,-4.0993,1.0000,
MDD,-0.0397 ± 0.0055,-0.0442 ± 0.0052,8.3174,0.0000,***
Omega,114.1846 ± 8.9602,115.4602 ± 9.3024,-1.3288,0.9068,
