,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,10.3211 ± 1.9376,10.6046 ± 2.3651,-1.1776,0.8794,
CVaR,-0.0125 ± 0.0014,-0.0121 ± 0.0013,-2.9592,0.9982,
MDD,-0.0340 ± 0.0054,-0.0383 ± 0.0055,7.5843,0.0000,***
Omega,105.9669 ± 9.8164,107.0744 ± 10.0402,-1.0673,0.8561,
