,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,15.1715 ± 15.4994,7.4653 ± 9.2631,9.5659,0.0000,***
CVaR,-0.0033 ± 0.0013,-0.0471 ± 0.0396,16.6444,0.0000,***
MDD,-0.0077 ± 0.0024,-0.4427 ± 0.4022,16.2553,0.0000,***
Omega,998.8615 ± 476.5513,396.6695 ± 620.5943,13.6114,0.0000,***
