,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,137.6123 ± 528.8262,121.6233 ± 315.0207,0.2763,0.3914,
CVaR,0.0023 ± 0.0013,0.0013 ± 0.0020,5.3981,0.0000,***
MDD,-0.0022 ± 0.0021,-0.0026 ± 0.0024,1.3788,0.0853,*
Omega,24760.4718 ± 166537.1437,89948.9648 ± 610468.2731,-0.9859,0.8365,
