,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,1.9512 ± 0.9470,0.5153 ± 1.0407,23.5608,0.0000,***
CVaR,-0.0178 ± 0.0021,-0.0318 ± 0.0105,26.5164,0.0000,***
MDD,-0.0230 ± 0.0038,-0.1742 ± 0.1118,27.0128,0.0000,***
Omega,10.7519 ± 11.6792,3.9861 ± 10.9196,10.0758,0.0000,***
