,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,4.3655 ± 0.8844,1.2577 ± 1.9292,27.6731,0.0000,***
CVaR,-0.0115 ± 0.0015,-0.0388 ± 0.0220,22.1029,0.0000,***
MDD,-0.0217 ± 0.0053,-0.2446 ± 0.1820,21.7944,0.0000,***
Omega,36.4319 ± 10.0445,11.6178 ± 17.2209,24.2392,0.0000,***
