,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,6.2935 ± 1.1908,2.7972 ± 3.0845,16.7289,0.0000,***
CVaR,-0.0100 ± 0.0012,-0.0286 ± 0.0168,16.6649,0.0000,***
MDD,-0.0238 ± 0.0050,-0.1719 ± 0.1347,16.5236,0.0000,***
Omega,62.6598 ± 9.4916,26.7589 ± 28.8109,18.4818,0.0000,***
