,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,10.5730 ± 1.8043,10.9898 ± 2.1828,-1.8746,0.9684,
CVaR,-0.0134 ± 0.0013,-0.0130 ± 0.0013,-3.6139,0.9998,
MDD,-0.0368 ± 0.0055,-0.0412 ± 0.0054,7.9521,0.0000,***
Omega,110.3965 ± 9.4061,111.6159 ± 9.7088,-1.2164,0.8870,
