매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
-0.14888744327744824,-0.15954453457646586,-0.14808974030882627,-0.14721548320709218,-0.14497690405890273,-0.1458083651487499,-0.15442436310607802,-0.16585433883469922,-0.14931946676062077,-2.3739321076096656,0.03221494781715905,-0.13229730171799925,-0.35471338030173577,0.1533532555146201,-0.46465532763661693,-0.3158579624172853,-0.03489000320143326,-0.7041157082243755,-0.1547562026628956
-0.11698484282005633,-0.0700448297904306,-0.07960327017913697,-0.12028214228871031,-0.11524636975427832,0.4450068048391027,-0.10373459180828046,-0.010339898796165918,-0.13766641849722,1.552107861050883,1.0081382605255271,1.2206510522299676,1.582765403223206,-0.8064046156853024,3.4611812846248995,-0.1362632523537977,1.9640852911671078,-0.33173286503767,-0.12387683941311979
-0.14231743190174823,-0.14414285773242605,-0.13987426255551877,-0.1488708388548838,-0.14492911621007828,-0.15926008512674447,-0.14830561579207546,-0.1362725331550083,-0.18296887959967154,0.7913978691480571,0.5046799359530104,1.1048755058508477,1.5063114745628183,-0.8474229962334241,0.64630286178222,-0.14358762838847935,0.0016185637803693032,-0.43826425057784624,-0.15690706196823734
-0.14955015019614196,-0.1566127523624717,-0.14913548846089608,-0.15108366625306138,-0.14722825454038124,-0.059879224459444366,-0.1534150037567327,-0.15931964066792664,-0.17972858978487977,-1.2851357066762077,-0.46211959872148733,-0.07690654038510805,-0.29740930538220034,-0.031616422806154454,-0.5638774502609553,-0.9511866720560093,-0.7724673132328752,0.6184634931535139,-0.07413540907032373
-0.14613531438225028,-0.1474245968976643,-0.14125670147723152,-0.14592895946477144,-0.14138579090258613,-0.14964573339973383,-0.14806315078281068,-0.1351248621508081,-0.17576373291295344,1.1422731170896503,0.8333422617610502,0.4097412989702877,0.5652587397614631,-0.952388774078831,0.46202494522990883,0.21266931978135808,0.6444783901929338,0.44960329696893614,-0.15630310907603387
-0.1440017838850025,-0.15685796029429583,-0.1512827282699435,-0.14627326819040337,-0.14279058336724998,0.06489803699618574,-0.15129966366337255,-0.15496652120301566,-0.16846457081390026,-0.453210593176627,-0.3673973604401997,-0.5265625727853045,-0.7611758182335329,-0.550181624739426,-0.6082556432179365,-0.18000729575903254,-0.7173228076744361,-0.5937682730529095,0.04621549394605837
-0.14678857910995913,-0.15348337540729892,-0.14701723527440072,-0.1501826239329584,-0.14704370191262708,-0.10112744464092976,-0.15156339753309916,-0.15227635360133357,-0.17364676518002795,0.21154116278861806,0.16336352603769305,0.19915869342665413,0.06930644984930519,-0.08086943673223881,-0.4838232376890459,-0.08521204419834413,-0.6896611917531906,-0.8780639705840065,-0.11190470769791776
-0.13787852303132844,-0.15248945005257497,-0.14725916208570047,-0.14091589659481557,-0.142148267849086,-0.11510941914087848,-0.1428650412859413,-0.18416688520784116,-0.08147275816235937,-0.1020703587360687,-0.05129742247779039,-0.05906790600215585,-0.2777309682635119,1.0972403671464896,-0.5007939212497937,-0.21566118376010615,-0.44203592519961615,-0.30661053829834495,-0.1246617825879051
-0.15007931755662138,-0.15610091056303302,-0.14931498254669912,-0.1528276006106392,-0.14901950063328925,-0.16392074329339404,-0.15346057988629375,-0.15530446514302798,-0.18568073795892445,-3.7586190579495486,-2.7955143688511352,-0.6569904106890045,-1.4924206520336871,-0.6895512467980249,-0.7200250855447697,0.5131794574436255,-0.6728683679808367,0.7691974535894646,-0.16931506792535572
-0.13640675523367587,-0.1502980529531177,-0.14392347075201936,-0.14288841323403612,-0.13960838093517294,0.0540138652297586,-0.14499861183112583,-0.1318357641999953,-0.14937620019909886,-0.0559627079162162,0.06506513355217478,0.08312665179108622,-0.03650766646868057,-0.601374627481371,-0.4939709547756259,-0.20310666205035074,-0.6438625814649528,-0.06365537843955488,0.029612147066056284
1.107148007410589,1.9469772912361856,1.1938314574266686,1.5426038440772785,1.1857917570489267,10.031729480442657,1.9330346849154898,2.2677602767043994,7.8800603398995355,0.6421773469185772,0.2605844874488598,0.35706358567732316,0.26695923316026005,-0.023392108517638028,4.212632744779853,-0.14147375314307276,5.9424504579435276,-0.3253727823188535,0.7500541292146955
-0.1481559432530078,-0.15317507999786958,-0.14621341393363066,-0.1513446453776352,-0.14774359699919648,-0.16477194134179413,-0.1517669709118052,-0.14843851499545127,-0.1816429380946692,0.6205147006282155,0.5491984709825993,0.7541503045655543,0.8011384874026118,-0.33147884301945385,-0.4073828844784542,-0.0008303171792552588,-0.6961214022288079,0.6276856130957981,-0.1280651788913065
-0.1483485639490987,-0.15555573953014254,-0.14956248370848962,-0.151275914860227,-0.14842710159864125,-0.1646463547444892,-0.153530463284954,-0.15832253874591012,-0.1739628514801202,-0.2820955614701913,-0.3977258989799246,-1.051864857990373,-0.9575954736628683,1.5164017804457854,-0.6332924608731453,-0.5345533963760818,-0.7708401593551549,0.6512179191554187,-0.12770781028086275
-0.13765905953515203,-0.155839038014483,-0.15834988982215087,-0.13804077930633835,-0.14355838190047862,-0.1438547958573399,-0.1424724788899888,-0.19365273738541428,-0.008565426851851885,-0.2755371456208157,-0.5861846407297954,-1.8623898683653817,-1.0483771739001637,3.5493139967684764,-1.5369885882016905,-0.2608143014470796,-0.30261452978231734,0.43433909844377655,-0.151157481949568
