기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
BGF리테일,77662.0,2439.6666666666665,1870.0,30243.5,9930.0,173.0,6233.666666666667,3976.1666666666665,3.138333333333333,2.405,20.16333333333333,6.491666666666667,205.28833333333333,10821.833333333334,14.9,57481.333333333336,2.8333333333333335,17283906.0
BNK금융지주,82864.83333333333,9679.666666666666,7562.166666666667,1399171.6666666667,106373.5,16297.0,10905.666666666666,191879.5,12.496666666666664,9.673333333333334,7.38,0.565,1215.08,2193.1666666666665,3.2866666666666666,30776.166666666668,0.22833333333333336,324011842.0
CJ,400653.1666666667,20512.5,6257.833333333333,466747.0,176015.16666666666,1790.0,44157.0,184667.5,5.128333333333333,1.585,4.076666666666667,1.385,165.05499999999998,5904.666666666667,15.39,158924.0,0.5566666666666666,29176998.0
CJ대한통운,118181.33333333333,4346.833333333333,2134.3333333333335,94088.83333333333,40357.166666666664,1141.0,6832.833333333333,32791.666666666664,3.6783333333333332,1.8033333333333335,5.096666666666667,2.2616666666666667,133.13666666666666,7980.0,19.13,179814.16666666666,0.64,22812344.0
CJ제일제당,289197.8333333333,14547.666666666666,6960.5,292835.1666666667,115340.83333333333,819.0,20459.0,110959.16666666667,5.035,2.421666666666667,7.655,2.4466666666666668,153.86,30141.0,12.088333333333333,427293.1666666667,0.835,15054186.0
DB손해보험,196714.16666666666,22109.0,16965.166666666668,600238.6666666666,103153.66666666667,354.0,35231.5,13784.333333333334,11.339999999999998,8.696666666666667,17.346666666666668,2.823333333333333,510.1033333333333,23900.5,3.1950000000000003,170385.83333333334,0.4366666666666667,70800000.0
DL,46266.0,2023.8333333333333,936.6666666666666,114245.83333333333,45320.833333333336,1387.0,2886.0,51769.666666666664,4.698333333333333,4.576666666666666,2.643333333333333,0.9233333333333332,151.685,3840.6666666666665,2.3429668589526074,170678.66666666666,0.3233333333333333,20955884.0
DL이앤씨,77933.8,3972.2,2939.6,91963.4,47382.8,2146.0,1995.8,12538.2,5.136,3.822,6.351999999999999,3.278,94.06800000000001,6477.0,6.348,112624.2,0.312,38693623.0
F&F,19106.6,5410.4,4320.8,18311.4,11679.0,38.0,4339.2,2599.2,28.342000000000002,22.676,47.217999999999996,27.326,57.888,11270.4,9.835999999999999,29964.0,3.9760000000000004,38307075.0
GKL,2999.0,-34.333333333333336,-45.5,6114.166666666667,3973.1666666666665,309.0,363.5,759.3333333333334,-23.905,-19.55666666666667,-0.8000000000000007,-0.8650000000000002,53.839999999999996,-73.33333333333333,-8.801543189355622,6423.5,2.388333333333333,61855670.0
GS,258775.83333333334,40095.166666666664,18860.333333333332,337301.5,166756.83333333334,4735.0,25911.833333333332,119037.66666666667,15.326666666666668,7.271666666666667,13.901666666666666,5.82,102.90666666666668,16960.166666666668,2.563333333333333,132938.5,0.315,92915378.0
GS건설,123241.83333333333,987.3333333333334,87.83333333333333,170331.33333333334,50401.166666666664,4279.0,4170.5,51180.333333333336,1.2500000000000002,0.4283333333333334,-1.3266666666666662,0.20000000000000018,238.63333333333335,-695.3333333333334,1.8229781566329244,53466.0,0.395,85581490.0
GS리테일,108594.66666666667,3025.5,1604.6666666666667,98744.66666666667,44259.166666666664,1047.0,8037.0,32105.333333333332,2.775,1.6216666666666664,4.816666666666666,1.8783333333333336,123.09666666666665,1706.6666666666667,93.13499999999999,39463.5,0.6583333333333333,104717922.0
HD한국조선해양,189976.66666666666,-2081.8333333333335,-2161.5,306313.1666666667,123580.5,3539.0,13341.666666666666,42987.666666666664,-1.513333333333333,-1.4583333333333333,-1.1016666666666668,-0.8316666666666667,147.875,-1643.6666666666667,10.405317667670523,139050.83333333334,0.7133333333333334,70773116.0
HD현대,556745.0,23175.666666666668,11630.0,618114.6666666666,213458.16666666666,814.0,26794.333333333332,190923.16666666666,4.121666666666667,1.9516666666666669,8.226666666666667,2.14,190.58166666666668,7307.666666666667,5.715007160759041,102017.16666666667,0.5850000000000001,78993085.0
HD현대미포,37397.166666666664,-1490.3333333333333,-1107.8333333333333,46836.666666666664,21000.833333333332,1997.0,-1855.8333333333333,3657.8333333333335,-4.126666666666667,-3.0366666666666666,-5.3549999999999995,-2.49,123.88333333333333,-2827.8333333333335,-40.01792934300349,51581.166666666664,1.6016666666666666,39942149.0
HD현대인프라코어,46807.833333333336,3640.6666666666665,2865.1666666666665,45851.5,16799.5,1986.3333333333333,2629.5,14952.833333333334,7.780000000000001,6.1450000000000005,15.886666666666665,5.253333333333333,176.58833333333334,1347.8333333333333,6.315,8463.666666666666,0.9383333333333334,198628624.66666666
HD현대일렉트릭,23539.0,2035.5,1781.3333333333333,26359.333333333332,9132.666666666666,1802.0,-342.6666666666667,6633.5,8.026666666666667,7.056666666666666,20.385,6.928333333333334,192.43833333333336,4941.333333333333,5.3110962566844915,25170.833333333332,2.215,36047135.0
HD현대중공업,119639.0,1786.0,247.0,171336.0,52074.0,4439.0,1688.0,31681.0,1.49,0.21,0.47,0.15,229.02,278.0,463.89000000000004,58660.0,2.2,88773116.0
HL만도,77265.16666666667,2610.6666666666665,1465.0,60426.833333333336,22767.166666666668,470.0,3013.5,21279.0,3.3949999999999996,1.9283333333333335,6.234999999999999,2.518333333333333,165.61666666666667,2734.3333333333335,16.2,46030.5,0.9616666666666666,46957120.0
HMM,126937.83333333333,48384.5,47462.5,245249.5,193738.16666666666,29452.0,59347.166666666664,37761.0,30.24,30.36,38.725,23.74833333333333,30.53833333333333,10102.5,5.998333333333334,33250.666666666664,0.68,589039496.0
HS효성첨단소재,34812.5,2649.6666666666665,1367.0,30467.166666666668,8130.5,224.0,3323.6666666666665,16791.5,7.4799999999999995,3.8033333333333332,18.505,4.838333333333334,275.30833333333334,23667.666666666668,25.66333333333333,162592.83333333334,2.5833333333333335,4479948.0
JB금융지주,35855.833333333336,7933.166666666667,5956.166666666667,610440.0,48667.833333333336,9849.0,-4878.833333333333,121807.33333333333,22.793333333333333,17.095000000000002,12.834999999999999,1.0033333333333332,1155.61,2933.1666666666665,3.3200000000000003,24475.666666666668,0.3983333333333334,196982894.0
KB금융,762601.6666666666,59718.333333333336,43043.5,6980669.333333333,554030.1666666666,20906.0,33036.666666666664,1194706.6666666667,7.968333333333334,5.736666666666667,8.588333333333333,0.6333333333333333,1163.68,10807.666666666666,4.85,140354.66666666666,0.375,407355878.6666667
KCC,63816.166666666664,3769.5,469.5,131960.66666666666,54701.333333333336,481.0,5930.166666666667,51063.166666666664,5.888333333333333,0.7233333333333333,2.1350000000000002,0.3533333333333333,141.265,12377.166666666666,12.474782608695653,693554.1666666666,0.33666666666666667,8886471.0
KG모빌리티,34141.833333333336,-746.3333333333334,-599.1666666666666,22945.0,8891.333333333334,9038.666666666666,-757.3333333333334,1858.1666666666667,-2.7116666666666664,-2.2916666666666665,43.745,-3.2916666666666665,-229.32000000000002,-3203.5,86.7032085978443,3775.1666666666665,0.9085594013096352,158370603.5
KT,258878.16666666666,16669.0,12001.5,412084.5,181799.83333333334,15645.0,48776.5,110248.0,6.44,4.655,7.248333333333332,3.0499999999999994,126.61333333333333,4421.333333333333,7.736666666666667,66198.0,0.5083333333333333,259486284.0
KT&G,57531.666666666664,12292.5,9582.666666666666,124263.66666666667,93018.0,9550.0,11656.0,3950.0,21.441666666666666,16.69,10.336666666666668,7.881666666666668,33.583333333333336,6960.166666666667,12.543333333333331,80090.33333333333,1.0866666666666667,135557497.0
LG,72611.5,18516.5,18597.5,292827.5,259096.83333333334,8016.0,8249.333333333334,7231.833333333333,25.655,25.834999999999997,7.331666666666666,6.701666666666667,13.143333333333333,10632.333333333334,8.44,159497.0,0.52,157300993.0
LG디스플레이,243623.33333333334,-15783.333333333334,-21313.0,361340.6666666667,106187.33333333333,17891.0,28039.166666666668,154473.33333333334,-7.296666666666667,-9.37,-23.265,-5.881666666666667,252.02666666666667,-5539.166666666667,-0.08205738027417227,22974.0,0.5883333333333333,395918184.0
LG생활건강,71462.5,6954.666666666667,3113.6666666666665,73036.5,55136.833333333336,886.0,6594.0,4084.1666666666665,9.536666666666667,4.173333333333333,5.57,4.285,32.47666666666667,16423.333333333332,43.88833333333334,321942.6666666667,1.87,15618197.0
LG에너지솔루션,304867.4,13773.2,12947.2,425820.2,228616.2,1170.0,24346.0,98031.0,4.542,4.13,6.109999999999999,3.35,86.244,4494.2,101.224,83817.6,5.146000000000001,234000000.0
LG유플러스,141301.5,10226.0,6566.666666666667,198703.16666666666,85214.0,25740.0,32232.5,72118.66666666667,7.241666666666667,4.648333333333333,8.113333333333333,3.3466666666666662,133.345,1491.3333333333333,7.401666666666666,19162.833333333332,0.58,436611361.0
LG이노텍,193233.83333333334,10500.333333333334,7572.5,101569.16666666667,43316.0,1183.0,17533.166666666668,23059.5,5.588333333333334,4.026666666666667,20.06833333333333,8.565,134.285,31996.166666666668,8.665,183041.66666666666,1.5,23667107.0
LG전자,812717.8333333334,36866.5,14321.666666666666,574193.5,225962.5,9042.0,44389.666666666664,131185.33333333334,4.551666666666667,1.763333333333333,5.101666666666667,2.6016666666666666,154.27333333333334,5127.166666666667,21.298333333333336,105710.66666666667,0.9783333333333334,163647814.0
LG화학,517192.1666666667,27570.166666666668,24175.166666666668,699138.3333333334,368311.3333333333,3914.0,48765.166666666664,187465.0,5.588333333333334,4.843333333333333,7.491666666666667,4.065,91.78833333333334,24216.333333333332,25.27,385978.3333333333,1.47,70592343.0
LIG넥스원,21982.666666666668,1691.0,1459.8333333333333,33416.0,9651.5,1100.0,4083.5,3396.5,7.61,6.596666666666667,16.07,4.703333333333333,244.94666666666663,6635.0,16.099999999999998,44283.166666666664,2.3933333333333335,22000000.0
LS,202090.0,7159.0,6263.833333333333,169797.83333333334,61249.833333333336,1610.0,3142.0,71550.5,3.518333333333333,3.235,12.896666666666667,3.978333333333333,177.42,16419.0,5.428333333333334,160000.66666666666,0.48666666666666664,32200000.0
LS ELECTRIC,36856.666666666664,2508.0,1484.6666666666667,34401.666666666664,16240.0,1500.0,757.5,9223.333333333334,6.658333333333334,3.8883333333333336,9.265,4.471666666666667,111.38499999999999,4906.666666666667,14.87,55233.0,1.165,30000000.0
LX인터내셔널,162914.5,6477.5,4465.166666666667,76951.33333333333,29470.333333333332,1938.0,7060.5,22673.5,3.861666666666667,2.5883333333333334,14.843333333333334,6.303333333333334,161.905,7446.833333333333,6.203333333333333,60766.5,0.505,38760000.0
NAVER,87116.0,14002.166666666666,34631.666666666664,347837.3333333333,239403.33333333334,165.0,17155.5,48376.0,16.224999999999998,48.10666666666666,21.088333333333335,12.909999999999998,45.28166666666667,21368.0,31.52,153860.66666666666,1.515,163228839.5
NH투자증권,106870.66666666667,7523.5,5327.166666666667,559153.8333333334,73532.83333333333,17537.333333333332,22091.333333333332,145863.66666666666,7.09,5.036666666666666,7.651666666666666,0.9416666666666668,661.7433333333333,1598.6666666666667,7.251666666666666,21365.833333333332,0.4716666666666667,325893915.3333333
OCI홀딩스,27884.833333333332,6207.333333333333,7564.333333333333,61774.833333333336,37652.166666666664,1171.5,5889.166666666667,16671.0,22.298333333333336,27.32166666666667,21.736666666666668,12.438333333333333,64.55666666666667,34830.333333333336,2.8433333333333337,171943.5,0.5783333333333334,21831043.0
