기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
BGF리테일,70985.16666666667,2197.0,1664.0,27337.666666666668,8672.0,173.0,5791.166666666667,7519.166666666667,3.0716666666666668,2.3266666666666667,20.55666666666667,6.37,216.67999999999998,9629.666666666666,18.258333333333336,50201.166666666664,3.486666666666667,17283906.0
BNK금융지주,65153.666666666664,10667.5,7884.333333333333,1302547.8333333333,104070.66666666667,16297.0,13934.833333333334,188141.66666666666,16.55,12.281666666666666,8.033333333333333,0.63,1150.475,2278.5,3.096666666666667,29234.333333333332,0.23666666666666666,325935246.0
CJ,372903.0,19360.833333333332,6464.0,447763.6666666667,169206.66666666666,1790.0,36457.0,181936.16666666666,5.175,1.7266666666666666,4.171666666666667,1.501666666666667,164.29,5808.0,17.345,150724.83333333334,0.5650000000000001,29176998.0
CJ대한통운,116434.33333333333,3747.5,1749.3333333333333,94518.66666666667,40292.666666666664,1141.0,5215.333333333333,32803.333333333336,3.2133333333333334,1.4966666666666668,3.723333333333333,1.875,134.5616666666667,5678.333333333333,28.503333333333334,176992.66666666666,0.6583333333333333,22812344.0
CJ제일제당,278437.6666666667,15670.833333333334,8298.833333333334,282271.8333333333,110611.66666666667,819.0,17094.166666666668,106516.16666666667,5.633333333333333,3.008333333333333,10.466666666666667,3.0483333333333333,154.99,37635.166666666664,10.200000000000001,392853.1666666667,0.9833333333333334,15054186.0
DB손해보험,197779.66666666666,18528.5,14031.333333333334,604105.3333333334,93888.0,354.0,23346.833333333332,16962.833333333332,9.568333333333333,7.238333333333333,16.886666666666667,2.2916666666666665,612.385,19757.333333333332,3.5366666666666666,154710.83333333334,0.39666666666666667,70800000.0
DL,36341.333333333336,2264.8333333333335,3874.1666666666665,110458.83333333333,42988.5,1520.0,4419.166666666667,40799.833333333336,6.746666666666666,17.34,10.398333333333332,3.3833333333333333,164.71333333333334,15242.5,11.258333333333333,153762.83333333334,0.49666666666666665,23263236.666666668
DL이앤씨,74968.0,4970.0,4316.0,89747.0,46925.0,2146.0,1520.0,12306.0,6.63,5.760000000000001,9.7,4.88,91.26,9627.0,3.51,103125.0,0.33,38693623.0
F&F,18089.0,5249.0,4427.0,15702.0,9432.0,38.0,3693.0,2607.0,29.02,24.47,60.4,32.66,66.48,11532.0,12.53,24159.0,5.98,38307075.0
GKL,1901.6666666666667,-703.5,-598.3333333333334,5999.166666666667,4001.5,309.0,-430.0,773.1666666666666,-67.80999999999999,-54.528333333333336,-13.651666666666666,-9.41,50.133333333333326,-967.6666666666666,-30.749585821297643,6469.0,2.59,61855670.0
