기업명,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
LG에너지솔루션(2021/12),178519.0,7685.0,7685.0,7772.0,9299.0,7925.0,1373.0,237641.0,150218.0,87424.0,79661.0,7763.0,1000.0,9786.0,-21781.0,8828.0,34629.0,-24843.0,69692.0,4.3,5.21,10.68,4.25,171.83,7460.02,3963.0,,39831.0,0.0,,,0.0,200000000.0
LG에너지솔루션(2022/12),255986.0,12137.0,12137.0,9953.0,7798.0,7672.0,126.0,382994.0,177057.0,205938.0,187322.0,18615.0,1170.0,-5798.0,-62594.0,114146.0,62099.0,-67897.0,81093.0,4.74,3.05,5.75,2.51,85.98,15657.39,3305.0,131.77,80052.0,5.44,,,0.0,234000000.0
LG에너지솔루션(2023/12),337455.0,14864.0,21632.0,20435.0,16380.0,12372.0,4008.0,454371.0,210636.0,243735.0,202006.0,41729.0,1170.0,44442.0,-97193.0,43547.0,99231.0,-54789.0,109323.0,4.41,4.85,6.35,3.91,86.42,16691.56,5287.0,80.86,86328.0,4.95,,,0.0,234000000.0
LG에너지솔루션(2024/12),256196.0,-9046.0,5754.0,3489.0,3386.0,-10187.0,13573.0,603068.0,293402.0,309665.0,211162.0,98503.0,1170.0,51117.0,-120654.0,53815.0,123990.0,-72873.0,163908.0,-3.53,1.32,-4.93,0.64,94.75,15864.82,-4354.0,,90240.0,3.86,,,,234000000.0
LG에너지솔루션(2025/12)(예측),276323.0,17140.0,,15581.0,13230.0,4683.0,,650736.0,332950.0,317785.0,218932.0,,1170.0,52732.0,-85175.0,41687.0,88247.0,-47678.0,,6.2,4.79,2.18,2.11,104.77,,2001.0,174.87,93561.0,3.74,0.0,0.0,,
LG에너지솔루션(2026/12)(예측),337054.0,36390.0,,34795.0,29321.0,14367.0,,720383.0,369114.0,351268.0,240567.0,,1170.0,72901.0,-68277.0,24257.0,71237.0,-6138.0,,10.8,8.7,6.25,4.28,105.08,,6140.0,57.01,102806.0,3.4,0.0,0.0,,
LG에너지솔루션(2027/12)(예측),407346.0,60340.0,,61923.0,52292.0,30328.0,,823082.0,406592.0,416489.0,286929.0,,1170.0,101564.0,-63939.0,12240.0,63436.0,26529.0,,14.81,12.84,11.5,6.78,97.62,,12961.0,27.01,122619.0,2.85,0.0,0.0,,
삼성바이오로직스(2020/12),11648.0,2928.0,2928.0,2660.0,2410.0,2410.0,,64242.0,18254.0,45988.0,45988.0,,1654.0,2021.0,-4187.0,1226.0,1397.0,624.0,7849.0,25.14,20.69,,,39.69,2684.75,3599.0,226.84,68678.0,11.89,0.0,0.0,0.0,66961660.0
삼성바이오로직스(2021/12),15680.0,5373.0,5373.0,5613.0,3936.0,3936.0,,79700.0,29789.0,49911.0,49911.0,,1654.0,4546.0,-9335.0,4966.0,4063.0,483.0,12927.0,34.27,25.1,8.21,5.47,59.68,2922.69,5878.0,151.83,74537.0,11.97,0.0,0.0,0.0,66961660.0
삼성바이오로직스(2022/12),30013.0,9836.0,9836.0,10090.0,7981.0,7981.0,,165820.0,75976.0,89845.0,89845.0,,1779.0,9530.0,-31065.0,30001.0,9568.0,-38.0,25140.0,32.77,26.59,11.42,6.5,84.56,4950.52,11411.0,71.95,126233.0,6.5,0.0,0.0,0.0,71174000.0
