매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
-0.26073881337471133,-0.26188933813264836,-0.2501643280954128,-0.3508497735721836,-0.5651130360285995,-0.5063697729106122,-0.0831755051737383,-0.32359053455697734,-0.24642672442767544,-0.25207717923409617,0.8469923825130373,0.28376047905844176,0.0272936587184225,0.05104288991232264,-0.14282139709228303,-0.19328691134296075,0.78349763856739,-0.6387990352479663
-0.2910878344122657,0.18487563058494688,0.1548350882749145,0.9951221216421196,0.1978268014618652,1.4790053536953842,0.2843756389315667,0.47245887878085796,0.5467993126010855,0.3163396396708879,-0.07480349799197582,-0.5985716714266371,3.0336617260888077,-0.31561359329033134,-0.22488170899423998,-0.25384642909741306,-0.7461454133881297,1.2537960722210106
1.3105397042358784,0.6433936395240053,0.06235866615638043,0.09290576948198903,0.7187444514791144,-0.3072658545453248,1.3008769846886412,0.4451096579779794,-0.12264148160211641,-0.28633635465780194,-0.35904638528637495,-0.4645822072269576,-0.14137679148695934,-0.13957159667340877,-0.14776468069372006,0.09706045201230552,-0.5916122435239052,-0.5658727108980431
-0.0242065806205351,-0.1801103305183834,-0.24460836375315873,-0.2799408832135417,-0.3122304001286553,-0.3871783115762905,-0.10916480571165796,-0.2121567650003825,-0.23808936655115207,-0.29946903857022245,-0.3920465305959103,-0.40719475028483865,-0.23708764025941562,-0.14603902234125435,-0.08737182720536107,0.17293110419095237,-0.5476840328010801,-0.6048996369471341
0.818911411574828,0.44876962269289433,0.18182275100769962,-0.08176924674408638,0.25013769480445347,-0.426826710904443,0.4269670082504682,0.11271448708875181,-0.09566767670748191,-0.21315494937771948,0.10430509736832763,-0.22683417132389339,-0.1713182915234176,1.447882140870029,-0.18643595222539966,0.7964114159007931,-0.39471972760552815,-0.6524712816183392
0.3991409684903629,0.5994933531620104,0.5550598477886173,0.257922874022767,0.11639209882570413,-0.484082939747893,0.7091709442795832,-0.28196988757358343,0.1359146991333619,0.028372237359405923,0.5768573640312646,-0.3431462492333666,1.3012722901083937,0.5561837486942047,-0.22250027309865716,0.10857340840069257,-0.6708399092918579,-0.31064786741163075
-0.44103658009937213,-0.25831156149081175,-0.10626268133246038,-0.26311619274354064,-0.29067078386670847,-0.3405114067770054,-0.14509849273615635,-0.17691415052125614,-0.03014585245433337,0.6051635213679627,0.09927533544382569,-0.17533917647850988,-0.14001386299067606,0.33099596731082587,-0.18070787724928195,0.10583525419693168,-0.623773969231688,-0.6021348433294328
-0.24001085442377146,-0.1156312355113283,-0.07749537377129705,-0.28497733084746585,-0.2591890789831893,-0.26343097826947914,-0.2759476628829326,-0.3024937394913239,-0.0370119118820585,-0.056038564309557864,0.04787362211782092,0.05472303929837769,-0.3764980546764808,0.05090988372892225,-0.22264460254687432,-0.04042444644759398,-0.7022172026653044,-0.5075184594160409
-0.5360276541485511,-0.10091576106800039,-0.07026827952922432,-0.36313110626917194,-0.5590350236542888,-0.5229925490264526,-0.1778728436605314,-0.3452397055806188,1.2806829788616505,1.012276722652999,3.7797116158578388,4.324964701402121,-0.45627766445104384,0.14592617599559954,-0.17382516668742715,-0.26850575958491774,1.957008410734291,-0.5098887029847289
-0.6202717971435331,-0.4148722543436613,-0.39746249212228224,-0.3733723522315945,-0.6024648212841505,-0.4896238651198398,-0.3639577399577979,-0.3533218766786789,-4.417950173023715,-3.498419543758745,-1.6709555077405414,-2.1418843527629075,-0.5089060215043743,-0.4775236829209589,-0.40806961946195913,-0.31960064129855725,0.3614730426945337,-0.36549290776553944
0.5973728390468702,1.5195797113219882,0.7797834133427972,-0.047882908243382205,0.5468233396204012,0.05535692812985877,0.5560258879405078,0.1724959627759936,0.4162460969110546,0.0040101570581040705,0.3748081472104293,0.168729371169998,-0.3032916236733625,0.3681628826847816,-0.24498932675544943,-0.0014432975721118543,-0.6896662853159258,-0.17504030386556924
-0.06555407508562909,-0.05182901716624227,-0.08603549864894156,-0.21262400208427798,-0.23291633733625064,-0.005798470419776071,-0.13791476422278062,-0.1644445570866775,-0.08154321159901869,-0.16100487123274515,-0.07934255143603829,-0.2696185700262767,0.02281853129361847,-0.2183777603381595,-0.2035209506581034,-0.17871374991355612,-0.5986721345329308,-0.22499075519502337
-0.0981184037835886,-0.22197998689447115,-0.15233811999888794,-0.28191852010842733,-0.30449426332591406,-0.4044372680126136,-0.015580757088717853,-0.22090736977100786,-0.25878563139758076,-0.19868996419882148,0.09031990567581057,-0.10872873538497899,-0.25988718034094105,-0.25246890772098046,-0.024038261209577916,-0.22831006024247205,-0.4810072843825062,-0.13099609818561708
0.21810592239555968,-0.708469704124252,-0.7929125947793604,-0.081562018825373,0.35434495038252206,-0.09190855508899336,-0.12127559409546419,-0.13858131575588611,-0.6579979438381715,-0.6273103144998509,-1.0584286470323263,-1.082009757363148,-0.2565442494228921,-0.8219431948363548,-0.3253702288399256,0.06856063778493972,-0.575923596837182,-0.31081271531693777
1.6091439208561116,0.6452045043599227,0.31607742062169913,0.13894396720924596,0.7596537400300679,-0.4274423692791038,0.2043541688527276,0.3822768927568522,-0.22249360299389068,-0.30984195557351113,-0.06805625638593699,-0.4092443023184858,-0.08615135808638076,-0.07894571570220339,-0.2917153840065394,-0.051657233049309303,-0.5916122435239052,-0.26040932775041475
