자산총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
-0.35125880255541814,-0.5033324210055083,-0.06720125071344726,-0.3413708036013084,-0.43231593308138305,-0.3316219853239113,1.1210864790858641,0.36082563358902514,-0.008505045355859544,0.2252919499764056,-0.1739495116125212,-0.18601060365048336,0.2967580194929035,-0.6361947191185457
1.0217973230684816,1.445442045149302,-0.36286418958107786,0.4336857385390039,0.4524420237247012,0.18580513457723113,-0.11173690709749923,-0.6918965928955182,3.4022808982564454,-0.3598417015657394,-0.22155326077080612,-0.26467663149693454,-0.6992619510081374,1.2065114237985
0.0786267876226794,-0.3078990104515311,1.9267165220650382,0.3839009273501173,-0.2103374784626366,-0.4125270775430637,-0.5214712108961485,-0.6038894632053833,-0.14248349945733005,-0.17841590154229964,-0.1298150134269693,0.10014411224308421,-0.5558507915474352,-0.5645849040839431
-0.28647179248481885,-0.3863382704697941,-0.08106265885252101,-0.22033945064015015,-0.3579347011312694,-0.36447848203115785,-0.324724266734313,-0.3632245310591122,-0.25185259565581414,0.06761970230153569,-0.15046174489172082,0.1768301684946038,-0.5431904456589715,-0.6029072928873968
-0.09106749093344568,-0.4252557461645255,0.7026082595234105,0.09208867147418637,-0.21558106400481175,-0.33756983532762225,-0.15844103185515906,-0.38181627077072244,-0.18858734225543788,1.3018780429571888,-0.16163601474781417,0.8971717981462738,-0.46657352485119913,-0.6496201459780163
0.24089351269074138,-0.4814564486429419,1.2816596850798447,-0.30784567753926095,0.2660034266695862,0.0629784489584294,0.8854452914935076,-0.3106257900659637,1.2958653691365074,1.0668211202747573,-0.22146652949648782,0.0971936541332457,-0.5916490109561949,-0.31396753104042374
-0.26351341766441855,-0.3469615202171745,-0.16189686938242256,-0.15270151126151746,-0.13721859118008362,0.11779899417335561,-0.37044569119253135,-0.49878540704678276,-0.12909005310737878,-0.03157383112906554,-0.21555794144874588,0.11787257106726685,-0.6479657219772925,-0.6057495561618572
-0.28769032687064827,-0.2577655666062684,-0.31565043817017263,-0.3058617264282526,-0.29175870952030014,-0.24700247272091533,-0.25428017158488603,-0.23382975969941286,-0.3738926771644024,-0.07785047494241515,-0.21030788689702837,-0.02860363219545406,-0.679398304872789,-0.507284098204053
-0.3616667786239039,-0.519648753983113,-0.1937990320079325,-0.34285738215425227,1.853385662221141,1.0221110642154787,3.1751025084795805,3.553030456266758,-0.5207716572810651,0.2312969290979678,-0.19979386863371865,-0.2552619445601653,0.4987414688398894,-0.5096115527282419
-0.3755213666338773,-0.48689522630214355,-0.41023102064796574,-0.352111902757261,-3.197239168783127,-1.9246783649322967,-0.9783751290679824,-0.9811429554439872,-0.5287159088090007,-0.5219619946193681,-0.24821627602166252,-0.33534780905515577,0.12584334999864197,-0.3678224761554912
-0.051002428618267454,0.04803877191177303,0.860029399477279,0.11754789129309244,0.5735300083745598,-0.11248312615104328,0.12871433985528027,-0.006431295086049584,-0.35301067680423326,0.32022129999938914,-0.2293735149714181,0.025458826821225446,-0.6735046955798834,-0.18080803576364282
-0.2134398462486515,-0.010023201143347914,-0.19333979303998436,-0.14530881090098788,-0.4658651702077072,-0.3825728449942544,-0.5867431992064105,-0.5927717897094958,0.10348995139026525,-0.41811533899604314,-0.21808796781501708,-0.20126713120273299,-0.6224267483747018,-0.22790057328311594
-0.2927472837712462,-0.40869768973540066,-0.011777357279895241,-0.23098469597837984,-0.47640089301004046,-0.3837910793323639,-0.35255020152902045,-0.4495499958507094,-0.25492517000795045,-0.3943476434189239,0.937258607219343,-0.2440928999496262,-0.5276924360368864,-0.16456544590102343
-0.06471858434301545,-0.09651185209722928,0.6751245735954371,-0.1986886468814259,-0.6934756241124936,-0.5057578348301472,-0.7180629918528091,-0.7584157822154504,-0.21032377546132777,-0.37297722508091313,-0.20527356679061104,0.06701656444527782,-0.40698258644515384,-0.3141294030134473
0.2217318088475848,-0.42586005479332567,1.6194014134071022,0.350335068481807,-0.38473524945794224,-0.3840777227060367,-0.26721043868279837,-0.4653389607314236,-0.08205394793700925,-0.13945837850321915,-0.22015860050044123,-0.04468717006007931,-0.5473378003465718,-0.2646359273319199
-0.3351467958173909,-0.2828806332192038,-0.3918071141231823,-0.34291216541441666,-0.9142888374996457,-0.5851938797592264,-1.0401818057960037,-0.9668488038064174,-0.2980156565719422,-0.5827106970458014,-0.32463303055867543,-0.20302076668085256,-0.022588291452313003,-0.49976656483881093
-0.3290726727135446,-0.17746503601130098,-0.21197565601151305,-0.28552065464403775,-0.09153142455798374,-0.09807929662398428,0.4336100380240556,-0.004562778532118782,-0.13310673345538088,-0.43721223334475195,-0.19945085035060384,-0.32939243928344425,-0.43776032386366065,0.49638915389790705
-0.3525465280629628,-0.3064486697424107,-0.24835879531244598,-0.33184256934825523,0.31523486870445233,0.07229435860279591,1.394742651946083,0.6775391894802747,-0.06479609639967944,-0.04562512869280721,-0.19984808807839546,-0.27085487084633636,0.9701574516637804,-0.5232189380397572
-0.1978959185153109,0.012263701086802564,0.47618096809577654,-0.2704889226916173,-0.4003556612708696,-0.3220943504603546,-0.19652184393733824,-0.43549365541091273,0.09471859451176474,-0.23486216955662967,0.8546995973233237,-0.17620289784080723,0.6906178081985926,-0.20574912052485236
