,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,9.6985 ± 2.1495,6.5110 ± 3.2171,10.2877,0.0000,***
CVaR,-0.0123 ± 0.0032,-0.0271 ± 0.0161,10.0117,0.0000,***
MDD,-0.0451 ± 0.0304,-0.1773 ± 0.1476,9.7630,0.0000,***
Omega,213.7832 ± 37.1756,129.7411 ± 111.9409,8.1118,0.0000,***
