,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0780 ± 0.0247,-0.0641 ± 0.0454,-3.2230,0.9992,
CVaR,-0.0590 ± 0.0029,-0.0673 ± 0.0057,15.3819,0.0000,***
MDD,-0.2959 ± 0.0325,-0.3287 ± 0.0513,6.6824,0.0000,***
Omega,0.8642 ± 0.0400,0.8862 ± 0.0784,-2.9758,0.9983,
