,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0598 ± 0.0293,-0.0580 ± 0.0417,-0.4378,0.6689,
CVaR,-0.0557 ± 0.0028,-0.0628 ± 0.0048,15.4709,0.0000,***
MDD,-0.2553 ± 0.0351,-0.2852 ± 0.0528,5.8739,0.0000,***
Omega,0.8911 ± 0.0507,0.8922 ± 0.0756,-0.1450,0.5575,
