,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,6.8194 ± 1.3848,4.3311 ± 1.8814,13.5864,0.0000,***
CVaR,-0.0108 ± 0.0027,-0.0242 ± 0.0127,11.5255,0.0000,***
MDD,-0.0362 ± 0.0276,-0.1450 ± 0.1269,9.3345,0.0000,***
Omega,125.5699 ± 23.6086,60.1516 ± 47.3138,14.6902,0.0000,***
