,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,8.1768 ± 1.9699,5.4284 ± 2.6470,10.6519,0.0000,***
CVaR,-0.0108 ± 0.0029,-0.0244 ± 0.0143,10.4234,0.0000,***
MDD,-0.0392 ± 0.0290,-0.1546 ± 0.1319,9.5319,0.0000,***
Omega,174.8039 ± 34.3073,92.5146 ± 78.9123,11.1594,0.0000,***
