,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,10.1558 ± 1.9130,7.2566 ± 3.5477,8.6396,0.0000,***
CVaR,-0.0142 ± 0.0035,-0.0303 ± 0.0177,9.9623,0.0000,***
MDD,-0.0513 ± 0.0343,-0.2012 ± 0.1659,9.8446,0.0000,***
Omega,234.7451 ± 35.3518,141.1093 ± 118.7953,8.5392,0.0000,***
