,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0339 ± 0.0343,-0.0515 ± 0.0419,4.2454,0.0000,***
CVaR,-0.0538 ± 0.0029,-0.0580 ± 0.0046,9.5709,0.0000,***
MDD,-0.2102 ± 0.0359,-0.2268 ± 0.0551,3.1311,0.0011,***
Omega,0.9350 ± 0.0657,0.8980 ± 0.0829,4.5407,0.0000,***
