,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,3.7254 ± 0.6019,2.2220 ± 0.9944,15.8421,0.0000,***
CVaR,-0.0147 ± 0.0022,-0.0251 ± 0.0074,15.1554,0.0000,***
MDD,-0.0319 ± 0.0229,-0.1155 ± 0.1034,8.8074,0.0000,***
Omega,41.1696 ± 9.6554,20.2770 ± 15.5121,14.0798,0.0000,***
