,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0339 ± 0.0342,-0.0512 ± 0.0411,4.2544,0.0000,***
CVaR,-0.0538 ± 0.0029,-0.0587 ± 0.0045,11.2875,0.0000,***
MDD,-0.2104 ± 0.0359,-0.2326 ± 0.0540,4.2846,0.0000,***
Omega,0.9350 ± 0.0657,0.8984 ± 0.0809,4.5828,0.0000,***
