,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0724 ± 0.0262,-0.0627 ± 0.0439,-2.3031,0.9886,
CVaR,-0.0576 ± 0.0029,-0.0657 ± 0.0054,15.9726,0.0000,***
MDD,-0.2823 ± 0.0334,-0.3143 ± 0.0525,6.3639,0.0000,***
Omega,0.8722 ± 0.0432,0.8872 ± 0.0768,-2.0542,0.9791,
