,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0663 ± 0.0277,-0.0606 ± 0.0427,-1.3824,0.9155,
CVaR,-0.0565 ± 0.0028,-0.0642 ± 0.0050,16.0096,0.0000,***
MDD,-0.2687 ± 0.0343,-0.2997 ± 0.0528,6.1052,0.0000,***
Omega,0.8812 ± 0.0468,0.8893 ± 0.0760,-1.1173,0.8671,
