,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,3.7588 ± 0.5604,2.4862 ± 0.7631,17.1364,0.0000,***
CVaR,-0.0146 ± 0.0022,-0.0256 ± 0.0080,14.8470,0.0000,***
MDD,-0.0322 ± 0.0245,-0.1254 ± 0.1102,9.2115,0.0000,***
Omega,41.6363 ± 8.9873,22.1413 ± 13.9071,14.6034,0.0000,***
