,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0381 ± 0.0341,-0.0516 ± 0.0396,3.4169,0.0004,***
CVaR,-0.0541 ± 0.0029,-0.0601 ± 0.0046,13.7334,0.0000,***
MDD,-0.2173 ± 0.0367,-0.2474 ± 0.0538,5.7850,0.0000,***
Omega,0.9276 ± 0.0642,0.8988 ± 0.0767,3.7945,0.0001,***
