,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,10.0214 ± 2.0542,6.9465 ± 3.4566,9.3362,0.0000,***
CVaR,-0.0132 ± 0.0034,-0.0287 ± 0.0169,9.9898,0.0000,***
MDD,-0.0482 ± 0.0324,-0.1898 ± 0.1572,9.8117,0.0000,***
Omega,225.0157 ± 36.3485,136.2855 ± 116.0478,8.2737,0.0000,***
