,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,3.7174 ± 0.6359,1.9178 ± 1.2916,14.8155,0.0000,***
CVaR,-0.0147 ± 0.0023,-0.0259 ± 0.0081,14.8731,0.0000,***
MDD,-0.0316 ± 0.0213,-0.1057 ± 0.0968,8.3308,0.0000,***
Omega,41.1348 ± 9.7865,18.8408 ± 16.8822,13.8873,0.0000,***
