,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0457 ± 0.0324,-0.0544 ± 0.0398,2.1979,0.0147,**
CVaR,-0.0546 ± 0.0029,-0.0609 ± 0.0046,14.4787,0.0000,***
MDD,-0.2295 ± 0.0364,-0.2593 ± 0.0535,5.7863,0.0000,***
Omega,0.9142 ± 0.0593,0.8953 ± 0.0751,2.5727,0.0055,***
