,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,4.8888 ± 0.7760,3.0911 ± 0.9661,18.8990,0.0000,***
CVaR,-0.0126 ± 0.0024,-0.0252 ± 0.0100,13.6979,0.0000,***
MDD,-0.0334 ± 0.0262,-0.1344 ± 0.1186,9.2743,0.0000,***
Omega,66.4317 ± 11.5617,32.7786 ± 21.6224,16.4640,0.0000,***
