,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0530 ± 0.0308,-0.0563 ± 0.0402,0.8589,0.1959,
CVaR,-0.0551 ± 0.0028,-0.0618 ± 0.0047,15.0096,0.0000,***
MDD,-0.2422 ± 0.0359,-0.2720 ± 0.0530,5.8339,0.0000,***
Omega,0.9021 ± 0.0547,0.8933 ± 0.0740,1.2138,0.1133,
