,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,9.1116 ± 0.1187,1.2236 ± 3.0680,81.2414,0.0000,***
CVaR,-0.0667 ± 0.0000,-0.0654 ± 0.0137,-2.9836,0.9985,
MDD,-0.1930 ± 0.0002,-0.3283 ± 0.1230,34.7782,0.0000,***
Omega,144.9968 ± 0.1110,19.0945 ± 47.5782,83.6806,0.0000,***
