,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0887 ± 0.0324,-0.0703 ± 0.0783,-6.8478,1.0000,
CVaR,-0.0756 ± 0.0166,-0.0877 ± 0.0164,16.4021,0.0000,***
MDD,-0.4850 ± 0.1081,-0.4938 ± 0.1246,1.6821,0.0464,**
Omega,0.8631 ± 0.0463,0.8951 ± 0.1268,-7.4819,1.0000,
