,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.1244 ± 0.0237,-0.0977 ± 0.0282,-17.5811,1.0000,
CVaR,-0.0399 ± 0.0022,-0.0433 ± 0.0048,14.5816,0.0000,***
MDD,-0.3321 ± 0.0415,-0.3129 ± 0.0588,-6.2813,1.0000,
Omega,0.8154 ± 0.0275,0.8445 ± 0.0387,-14.4130,1.0000,
