,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,9.9912 ± 0.7711,6.2367 ± 2.3227,14.6337,0.0000,***
CVaR,-0.0540 ± 0.0006,-0.0556 ± 0.0030,5.1094,0.0000,***
MDD,-0.1749 ± 0.0340,-0.3426 ± 0.1136,13.3926,0.0000,***
Omega,300.1065 ± 38.0483,110.8609 ± 131.0117,13.1144,0.0000,***
