,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0332 ± 0.0342,-0.0502 ± 0.0408,4.3075,0.0000,***
CVaR,-0.0538 ± 0.0030,-0.0588 ± 0.0045,11.8665,0.0000,***
MDD,-0.2091 ± 0.0364,-0.2304 ± 0.0544,4.1812,0.0000,***
Omega,0.9363 ± 0.0656,0.9004 ± 0.0806,4.6378,0.0000,***
