,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,1.9395 ± 4.1930,1.0412 ± 0.2605,6.6598,0.0000,***
CVaR,-0.0252 ± 0.0039,-0.0448 ± 0.0142,26.3963,0.0000,***
MDD,-0.0422 ± 0.0078,-0.2994 ± 0.1937,25.8358,0.0000,***
Omega,43.4040 ± 243.2211,4.5722 ± 2.4564,4.9872,0.0000,***
