,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.1334 ± 0.0385,-0.0876 ± 0.1156,-11.8849,1.0000,
CVaR,-0.1364 ± 0.0241,-0.1184 ± 0.0237,-16.9100,1.0000,
MDD,-0.7265 ± 0.0763,-0.6020 ± 0.1531,-23.0213,1.0000,
Omega,0.7901 ± 0.0577,0.8761 ± 0.1857,-13.9866,1.0000,
