,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,3.8624 ± 0.7921,1.5699 ± 1.8832,35.4838,0.0000,***
CVaR,-0.0789 ± 0.0288,-0.1124 ± 0.0390,21.8507,0.0000,***
MDD,-0.4489 ± 0.2079,-0.5090 ± 0.1527,7.3750,0.0000,***
Omega,16.5347 ± 8.4841,9.8140 ± 11.7870,14.6340,0.0000,***
