,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,1.0378 ± 0.1049,0.8712 ± 0.1441,22.0990,0.0000,***
CVaR,-0.0438 ± 0.0046,-0.0486 ± 0.0062,14.6911,0.0000,***
MDD,-0.1860 ± 0.0313,-0.2201 ± 0.0458,14.4124,0.0000,***
Omega,5.1083 ± 1.4350,5.3038 ± 0.9716,-3.0370,0.9988,
