,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,9.1124 ± 0.1206,1.1767 ± 3.0489,82.1172,0.0000,***
CVaR,-0.0667 ± 0.0000,-0.0813 ± 0.0253,18.2515,0.0000,***
MDD,-0.1930 ± 0.0002,-0.3890 ± 0.1164,53.1646,0.0000,***
Omega,144.9973 ± 0.1117,18.6711 ± 47.1615,84.5770,0.0000,***
