,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,2.8654 ± 1.5994,0.8468 ± 1.6252,20.8004,0.0000,***
CVaR,-0.0157 ± 0.0031,-0.0320 ± 0.0117,27.0524,0.0000,***
MDD,-0.0231 ± 0.0114,-0.1868 ± 0.1264,25.3826,0.0000,***
Omega,20.3186 ± 23.6257,7.0370 ± 16.8541,11.6667,0.0000,***
