,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,4.6711 ± 4.8884,1.0114 ± 2.6808,20.7577,0.0000,***
CVaR,-0.0931 ± 0.0324,-0.1092 ± 0.0203,13.3679,0.0000,***
MDD,-0.5144 ± 0.3191,-0.5401 ± 0.1718,2.2453,0.0124,**
Omega,148.8975 ± 153.1791,23.5097 ± 77.0380,23.1255,0.0000,***
